Opt. Const. of B-Spline vs. nm
nm	n	k
827.741211	1.526305	0.006651	
829.315796	1.526291	0.006741	
830.890442	1.526277	0.006830	
832.464722	1.526264	0.006920	
834.039063	1.526250	0.007009	
835.613159	1.526237	0.007097	
837.187134	1.526224	0.007186	
838.760925	1.526211	0.007275	
840.334656	1.526198	0.007363	
841.908203	1.526185	0.007451	
843.481628	1.526173	0.007539	
845.054871	1.526160	0.007626	
846.628052	1.526148	0.007714	
848.201050	1.526136	0.007801	
849.773926	1.526123	0.007888	
851.346558	1.526111	0.007975	
852.919128	1.526100	0.008061	
854.491577	1.526088	0.008147	
856.063843	1.526076	0.008233	
857.635925	1.526065	0.008319	
859.207886	1.526053	0.008405	
860.779785	1.526042	0.008490	
862.351440	1.526031	0.008575	
863.922974	1.526019	0.008659	
865.494324	1.526008	0.008744	
867.065613	1.525997	0.008828	
868.636597	1.525986	0.008912	
870.207642	1.525976	0.008996	
871.778442	1.525965	0.009079	
873.348999	1.525954	0.009162	
874.919434	1.525944	0.009245	
876.489868	1.525933	0.009327	
878.059937	1.525923	0.009409	
879.630005	1.525913	0.009491	
881.199890	1.525902	0.009573	
882.769531	1.525892	0.009654	
884.339172	1.525882	0.009735	
885.908508	1.525872	0.009816	
887.477722	1.525862	0.009896	
889.046875	1.525852	0.009977	
890.615723	1.525842	0.010056	
892.184570	1.525832	0.010136	
893.753113	1.525822	0.010215	
895.321594	1.525812	0.010294	
896.889954	1.525803	0.010373	
898.458008	1.525793	0.010451	
